NHSWEID,SOURCE,ORIGID,CN,STANAME,LAT,LON,ELEV,START,END,VALIDYEARS,rhonull,rhomax,Tbarstar,VP_DJF,meanmaxHS,meanpeakSWE,meanmaxSCD
52373,GHCNd,US1MTYS0014,US,BILLINGS 4.5 NE,45.8323,-108.444,963.8,20081017,20220831,14,114,377,0.4883,0.3,0.24,43,42
52374,GHCNd,US1MTYS0033,US,BILLINGS 4.1 WSW,45.7615,-108.6123,994.3,20160403,20210510,5,114,386,0.5009,0.3,0.44,97,88
52375,GHCNd,US1NDBH0034,US,BISMARCK 1.3 WNW,46.8115,-100.793,526.1,20121004,20220531,10,101,360,0.2376,0.24,0.35,70,101
52376,GHCNd,US1NDCS0001,US,WEST FARGO 3.8 SSE,46.8275,-96.8528,273.1,20081026,20220831,13,96,357,0.2038,0.2167,0.34,59,84
52377,GHCNd,US1NDCS0004,US,FARGO 3.0 NE,46.911,-96.7797,273.4,20081112,20191129,12,96,360,0.2078,0.2133,0.4,69,89
52378,GHCNd,US1NDCS0015,US,FARGO 1.2 ESE,46.8709,-96.7922,274.9,20090901,20140428,5,96,360,0.2143,0.2133,0.38,71,100
52379,GHCNd,US1NDCS0025,US,FARGO 2.1 N,46.9082,-96.7794,276.1,20140330,20220831,9,96,355,0.2082,0.2133,0.29,52,80
52380,GHCNd,US1NDCV0004,US,LANGDON 1.4 ESE,48.7576,-98.342,500.2,20200402,20220503,2,90,343,0.0374,0.1867,0.36,54,71
52381,GHCNd,US1NDSM0012,US,MONTPELIER 3.3 ESE,46.6887,-98.5191,450.8,20180901,20220831,4,96,353,0.1843,0.2167,0.29,45,63
52382,GHCNd,US1NDTR0003,US,GRANDIN 7.1 ENE,47.2698,-96.8594,266.4,20190415,20220411,1,94,343,0.1704,0.2067,0.09,13,73
52383,GHCNd,US1NHBK0002,US,BELMONT 1.7 SW,43.4356,-71.5069,214,20091019,20220831,13,111,378,0.3729,0.29,0.5,100,70
52384,GHCNd,US1NHBK0029,US,SANBORNTON 2.3 WNW,43.4973,-71.628,157.3,20161122,20220819,6,113,373,0.3753,0.2967,0.37,77,73
52385,GHCNd,US1NHCR0009,US,MADISON 1.7 SE,43.8793,-71.1266,285.3,20100322,20190831,9,109,378,0.3421,0.28,0.56,121,77
52386,GHCNd,US1NHCR0011,US,NORTH CONWAY 1.4 SSW,44.0356,-71.1401,156.1,20091014,20220824,13,111,384,0.3491,0.29,0.68,157,103
52387,GHCNd,US1NHCR0015,US,JACKSON 3.7 NW,44.1907,-71.226,355.4,20120901,20220430,7,107,376,0.2656,0.27,0.66,131,145
52388,GHCNd,US1NHCS0010,US,RANDOLPH 1.4 NE,44.3882,-71.2695,541,20091019,20220417,13,105,384,0.1943,0.2567,1,246,129
52389,GHCNd,US1NHCS0019,US,CARROLL 4.6 NE,44.3377,-71.4646,526.7,20201106,20220831,2,105,358,0.2027,0.2567,0.38,66,51
52390,GHCNd,US1NHGR0001,US,BRISTOL 0.4 SSE,43.5949,-71.7414,153,20100303,20220430,13,111,376,0.3516,0.29,0.49,112,87
52391,GHCNd,US1NHGR0047,US,LITTLETON 7.3 W,44.3185,-71.9109,338.6,20190404,20220505,4,109,364,0.2595,0.28,0.41,75,84
52392,GHCNd,US1NHGR0049,US,PLYMOUTH 3.7 N,43.7905,-71.6841,269.4,20190421,20220831,3,109,374,0.318,0.28,0.5,120,100
52393,GHCNd,US1NHHL0048,US,GREENVILLE 1.1 ENE,42.7767,-71.7799,296.3,20110901,20220430,11,115,381,0.4233,0.3067,0.45,80,53
52394,GHCNd,US1NHMR0004,US,BOW 1.6 NW,43.1499,-71.5565,137.5,20091017,20220831,13,114,386,0.4212,0.3,0.58,126,99
52395,GHCNd,US1NHMR0006,US,DANBURY 2.2 ESE,43.52,-71.819,285,20091014,20220428,13,111,378,0.3331,0.2867,0.59,139,113
52396,GHCNd,US1NHMR0025,US,CHICHESTER 2.7 SSW,43.2115,-71.4143,210.3,20110410,20220831,11,113,375,0.4076,0.2967,0.35,70,60
52397,GHCNd,US1NHMR0033,US,BOSCAWEN 2.2 SE,43.2862,-71.6043,110.3,20101116,20181231,9,114,386,0.4182,0.3,0.59,124,94
52398,GHCNd,US1NHMR0041,US,NEWBURY 1.6 NW,43.3367,-72.0606,421.5,20131119,20210816,8,110,384,0.3385,0.2833,0.7,135,110
52399,GHCNd,US1NHMR0045,US,NORTHFIELD 2.8 E,43.4394,-71.5373,195.1,20130912,20220831,9,111,380,0.3729,0.29,0.55,123,104
52400,GHCNd,US1NHMR0055,US,CANTERBURY 2.5 SSW,43.3028,-71.5789,115.8,20161121,20220831,5,114,378,0.4121,0.3,0.42,58,62
52401,GHCNd,US1NHMR0060,US,SOUTH SUTTON 1.3 SE,43.2953,-71.9024,167.9,20180423,20220419,3,114,371,0.3965,0.3,0.29,70,71
52402,GHCNd,US1NHMR0063,US,SUTTON MILLS 0.1 ENE,43.3352,-71.9513,227.1,20191025,20220831,3,113,372,0.3768,0.2967,0.36,75,65
52403,GHCNd,US1NHRC0018,US,DEERFIELD 3.2 WSW,43.1335,-71.2794,114.6,20100305,20211203,13,116,381,0.4382,0.31,0.43,87,57
52404,GHCNd,US1NHRC0065,US,DERRY 4.2 NW,42.9383,-71.3455,87.8,20161023,20220708,6,118,384,0.4701,0.32,0.44,85,57
52405,GHCNd,US1NHSL0003,US,WEST UNITY 0.7 WSW,43.2865,-72.3297,275.8,20100901,20220428,12,114,377,0.368,0.3,0.47,94,83
52406,GHCNd,US1NMCL0001,US,ANGEL FIRE 10.2 SSE,36.267,-105.1784,3065.1,20051125,20220504,11,98,372,0.1374,0.2267,0.84,219,151
52407,GHCNd,US1NMCL0006,US,ANGEL FIRE 0.2 SSE,36.3877,-105.2767,2595.1,20061010,20220525,15,109,358,0.2468,0.2767,0.29,57,77
52408,GHCNd,US1NYCL0007,US,PERU 4.1 ESE,44.5646,-73.4539,55.2,20091021,20220619,12,111,372,0.371,0.2867,0.35,64,59
